character,weight
的,40529
一,18584
了,18338
是,16552
不,15728
我,15576
在,10112
人,9711
有,9401
这,9297
他,9269
来,7815
个,7790
你,7491
说,6321
上,6278
到,6060
就,5955
着,5881
大,5704
们,5658
道,5597
那,5230
么,5124
也,5009
地,4637
子,4552
下,4504
出,4369
时,4323
看,4230
要,4185
她,4145
中,4046
没,3982
然,3866
里,3860
为,3850
过,3849
自,3825
好,3824
得,3785
去,3783
可,3723
会,3595
天,3580
还,3569
心,3453
后,3447
以,3436
小,3362
都,3341
和,3293
对,3263
想,3234
能,3125
起,3065
之,2830
手,2674
而,2673
只,2660
生,2616
什,2543
身,2539
头,2535
样,2512
事,2491
多,2432
己,2406
家,2395
面,2387
知,2316
开,2289
如,2269
无,2200
现,2192
很,2104
点,2095
前,2090
发,2079
经,2066
情,2043
把,2000
老,1982
些,1976
话,1972
已,1960
又,1954
声,1933
意,1932
于,1904
回,1900
笑,1884
所,1861
但,1846
眼,1841
成,1832
方,1828
年,1825
见,1823
当,1810
女,1771
真,1746
两,1739
力,1737
气,1700
从,1671
用,1670
长,1633
动,1618
间,1616
国,1613
走,1590
让,1580
被,1579
给,1548
正,1545
问,1527
打,1518
明,1508
儿,1501
法,1474
才,1461
几,1454
行,1452
三,1447
定,1442
此,1435
进,1425
再,1412
种,1398
将,1385
实,1378
同,1377
最,1360
本,1358
向,1354
分,1353
十,1352
学,1352
高,1351
第,1347
感,1332
怎,1327
神,1322
听,1290
边,1289
作,1284
其,1273
吧,1265
却,1252
口,1251
觉,1249
啊,1246
因,1229
白,1223
次,1215
军,1198
做,1187
外,1177
门,1176
光,1151
风,1145
主,1135
住,1114
果,1109
与,1108
全,1098
二,1092
候,1087
公,1082
相,1073
吗,1068
等,1054
别,1053
色,1047
死,1042
张,1041
部,1038
太,1033
日,1024
少,1022
战,1013
理,1002
直,1002
重,1001
王,996
像,992
脸,972
比,971
快,969
何,959
水,957
名,950
体,948
呢,944
东,939
叫,937
西,937
应,936
便,914
放,911
马,911
难,909
轻,906
更,897
美,891
位,886
关,882
机,880
接,880
先,875
文,862
处,856
并,855
望,855
常,855
完,855
四,841
飞,839
师,833
者,832
安,832
清,826
刚,822
跟,815
月,814
信,805
山,804
爱,798
内,795
龙,795
空,788
带,785
找,777
原,776
入,775
李,770
连,765
吃,761
场,760
平,758
思,757
林,756
变,752
使,745
由,737
受,731
亲,731
命,720
目,719
强,717
男,713
任,713
该,711
路,705
车,704
今,704
海,703
加,700
远,694
活,693
特,692
解,691
电,689
世,687
性,687
表,686
许,684
它,684
立,681
黑,680
金,680
红,675
花,672
转,672
总,670
算,665
城,663
队,661
孩,659
反,658
工,654
始,653
满,652
新,649
兵,646
物,645
离,643
非,642
虽,638
云,635
似,633
万,632
至,631
干,630
通,625
认,624
失,622
火,621
哥,619
士,619
五,616
惊,612
魔,611
竟,611
姐,610
乎,609
剑,606
往,602
量,601
早,599
结,596
怕,587
流,587
突,582
坐,582
斯,582
音,579
紧,579
指,578
拉,577
杀,577
半,576
记,576
且,575
利,574
合,571
倒,571
书,570
度,570
微,570
步,567
教,564
喜,563
越,563
影,562
谁,560
冷,560
深,558
告,555
落,555
象,548
容,546
怪,546
传,545
钱,544
提,540
言,540
随,535
每,534
双,532
服,532
击,532
武,528
哪,526
数,523
站,523
奇,517
房,516
管,515
灵,515
刻,515
题,514
衣,513
周,512
静,510
伤,510
百,507
拿,505
妈,503
办,503
星,503
化,501
功,498
绝,496
系,496
般,495
必,495
业,494
尔,493
件,492
血,491
代,491
精,491
弟,490
终,489
近,487
条,487
青,481
界,481
司,480
整,480
欢,478
字,477
晚,476
民,475
帮,474
切,474
即,474
忙,473
交,473
或,472
暗,469
夫,469
员,467
根,466
石,466
哈,463
夜,462
父,461
制,458
友,458
阿,456
息,455
冲,454
酒,454
保,452
片,452
形,452
阵,451
南,451
决,451
请,451
各,450
报,450
兴,450
阳,447
急,447
语,444
令,443
错,442
及,442
刘,439
极,438
识,435
备,433
慢,432
雪,432
苦,426
若,426
领,426
收,425
底,424
尽,424
准,424
华,421
答,419
众,419
千,418
消,417
视,414
罗,412
敢,412
留,410
克,409
乐,409
够,404
跑,404
显,402
嘴,401
官,400
断,400
未,399
势,398
句,397
求,395
计,393
论,392
达,390
则,390
害,389
八,389
单,389
久,388
脚,387
德,386
元,385
脑,383
楚,383
雨,382
睛,381
响,381
刀,381
确,380
玉,380
沉,378
北,378
格,377
停,376
陈,376
市,375
朝,373
喝,372
族,372
江,371
团,369
母,369
章,367
装,366
亮,365
客,365
照,364
乱,364
易,363
足,358
依,358
黄,357
修,357
破,356
台,356
球,354
呀,354
院,354
送,352
包,351
义,351
诉,351
攻,350
丝,348
围,347
玩,347
待,347
复,345
况,345
楼,344
丽,344
痛,344
梦,342
呼,341
摇,341
期,341
英,340
低,340
帝,338
兄,338
背,338
持,337
爷,337
皇,337
七,336
六,334
穿,334
杨,333
政,333
运,332
居,330
叶,329
热,329
校,328
谢,328
曾,327
古,327
细,325
产,325
睡,324
希,323
速,323
室,323
旁,321
另,320
怀,319
露,319
异,319
写,318
鬼,318
娘,318
取,317
式,316
除,316
级,315
考,315
建,315
愿,314
招,312
饭,311
布,311
续,311
程,311
首,310
观,310
朋,310
务,309
掉,308
赶,308
忽,308
注,307
术,305
甚,303
差,302
呵,300
展,300
争,299
品,298
兰,297
宝,297
香,296
斗,296
故,295
雷,295
念,294
段,294
顿,293
角,293
疑,293
护,290
闪,290
木,288
需,286
调,285
类,285
妹,285
爸,285
线,284
左,283
游,283
派,282
谈,282
激,281
冰,281
敌,281
跳,280
支,280
约,277
巴,275
您,275
顾,275
肯,275
醒,275
铁,273
抱,273
淡,273
造,273
伙,273
资,272
群,271
集,271
联,271
商,271
号,270
节,269
讲,269
掌,268
赵,267
密,266
九,266
病,266
卫,265
米,265
威,265
继,265
渐,265
统,265
追,264
亚,264
简,264
练,264
基,262
选,262
推,261
改,261
退,260
味,260
份,260
举,259
示,259
忍,259
历,259
器,257
恐,257
引,257
试,257
皮,256
习,256
靠,256
导,256
存,255
莫,255
志,255
区,255
汉,255
右,254
严,253
态,252
买,251
幸,251
社,251
佛,250
议,250
树,250
止,249
块,248
守,247
毛,247
挥,246
胡,246
散,246
板,245
仅,245
隐,245
怒,245
床,245
苏,245
料,244
股,243
局,242
班,242
图,240
岁,240
礼,240
独,240
初,240
福,239
顺,239
狂,239
默,239
巨,239
既,238
松,238
证,238
烈,238
否,237
恶,237
治,237
缓,237
排,236
费,236
拍,236
耳,236
医,236
寒,236
哭,235
温,235
